stt,id,title,group,topic,difficulty
1,CHELLO,Hello World,CÁC MÔ HÌNH THUẬT TOÁN,,1
2,CTDL_001,THUẬT TOÁN SINH,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
3,CTDL_002,Tổng dãy con = K,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
4,CTDL_005,XÓA DỮ LIỆU TRONG DSLK ĐƠN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,SORTING AND SEARCHING,1
5,CTDL_006,LỌC DỮ LIỆU TRÙNG TRONG DSLK ĐƠN,CÁC CẤU TRÚC DỮ LIỆU CƠ BẢN,SORTING AND SEARCHING,1
6,DSA_P039,CHỌN Ô - 1,CÁC MÔ HÌNH THUẬT TOÁN,DYNAMIC PROGRAMMING,1
7,DSA01001,XÂU NHỊ PHÂN KẾ TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
8,DSA01002,TẬP CON KẾ TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
9,DSA01003,HOÁN VỊ KẾ TIẾP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
10,DSA01004,SINH TỔ HỢP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
11,DSA01005,SINH HOÁN VỊ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
12,DSA01006,HOÁN VỊ NGƯỢC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
13,DSA01007,XÂU AB CÓ ĐỘ DÀI N,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
14,DSA01008,XÂU NHỊ PHÂN CÓ K BIT 1,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
15,DSA01019,HAHAHA,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
16,DSA01020,XÂU NHỊ PHÂN TRƯỚC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
17,DSA01021,TỔ HỢP TIẾP THEO,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
18,DSA01022,SỐ THỨ TỰ HOÁN VỊ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
19,DSA01023,SỐ THỨ TỰ TỔ HỢP,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
20,DSA01024,ĐẶT TÊN - 1,CÁC MÔ HÌNH THUẬT TOÁN,RECURSION AND BACKTRACKING,1
21,DSA01025,ĐẶT TÊN - 2,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
22,DSA01026,PHÁT LỘC,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
23,DSA01027,HOÁN VỊ DÃY SỐ,CÁC MÔ HÌNH THUẬT TOÁN,NEXT GENERATION ALGORITHM,1
